address,zipcode,values,last_sale,sales_price,last_mortgage,mortgage_amount,building_area,lender,units,property_type,reported_owner,building_area_int,industrial_no_of_panels,solar_prod_kw,solar_prod_mw
"13350 Us Highway 19 N, Clearwater, FL 33764",33764,,1-Jul-83,"$33,000 ",--,--,"799,016 SF",--,182,Industrial | Heavy Industrial,Honeywell International Inc,799016,15980.4,799020,799.02
"3015 Coast Line Dr, Orlando, FL 32808",32808,,30-Apr-19,"$208,400 ",12-Oct-20,"$50,000,000 ","1,146,835 SF",Wells Fargo Bank Na,,,,1146835,22936.8,1146840,1146.84
"1141 Sw 12th Ave, Pompano Beach, FL 33069",33069,,23-Oct-18,"$95,000,000 ",11-May-18,"$260,000,000 ","760,904 SF",Royal Bk/Canada,--,Industrial | Warehouse,Centerpoint Properties,760904,15218,760900,760.9
"1 Imeson Park Blvd, Jacksonville, FL 32218",32218,,19-Jun-18,"$47,750,000 ",12-Apr-18,"$144,912,000 ","1,651,687 SF",Parlex 2a Ffnco Llc,16,Industrial | General Industrial,Rcs Imeson Llc,1651687,33033.6,1651680,1651.68
"1936 George Jenkins Blvd, Lakeland, FL 33815",33815,,--,--,--,--,"858,601 SF",--,8,Industrial | Warehouse,Publix Super Markets Inc,858601,17172,858600,858.6
"200 Sw 12th St, Ocala, FL 34471",34471,,1-Nov-16,$100 ,--,--,"771,109 SF",--,7,Industrial | Waste Disposal,Marion County Hospital District,771109,15422,771100,771.1
"6825 Evergreen Ave, Jacksonville, FL 32208",32208,,--,--,--,--,"756,582 SF",--,--,Industrial | Heavy Industrial,United States Gypsum Company,756582,15131.6,756580,756.58
"20205 Hwy 27, Lake Wales, FL 33853",33853,,--,--,--,--,"1,199,365 SF",--,94,Industrial | Food Packing/Packing/Canning Plant,Citrus World Inc,1199365,23987.2,1199360,1199.36
"100 Ne 183rd St, Miami, FL 33179",33179,,--,--,--,--,"766,777 SF",--,--,Industrial | Warehouse,Publix Super Markets Inc,766777,15335.6,766780,766.78
"3000 Old Chemstrand Rd, Cantonment, FL 32533",32533,,31-Jul-07,"$3,067,000 ",6-Aug-12,"$100,468 ","1,834,373 SF",Bank Of America,--,Industrial | Heavy Industrial,Ascend Performance Materials Llc,1834373,36687.6,1834380,1834.38
"215 County Road 216, Palatka, FL 32177",32177,,16-Jan-07,"$54,236,300 ",16-Jan-07,"$1,000,000,000 ","2,400,766 SF",Citicorp N America Inc,--,Industrial | Heavy Industrial,Georgia-Pacific Consumer Oper Llc,2400766,48015.2,2400760,2400.76
