address,values,last_sale,sales_price,last_mortgage,mortgage_amount,building_area,lender,units,property_type,reported_owner
"13483 103rd St, Jacksonville, FL 32210","30.24832,-81.765310",21-Jul-20,"$75,482,301 ",21-Jul-20,"$200,730,000 ","1,010,220 SF",Prudential Ins Co/America,--,Industrial | Warehouse,Cecil Distribution Center Llc
"2400 Nw 116th St, Miami, FL 33167","25.88139,-80.200620",--,--,--,--,"803,285 SF",--,--,Industrial | Warehouse,Cp Logistics Westview Llc
"4001 Rice Rd, Plant City, FL 33566","27.99595,-82.063410",14-Nov-20,"$631,004 ",23-Nov-16,"$11,500,000 ","816,344 SF",Northwestern Mutual Life Ins,--,Industrial | Warehouse,Uscif Cnty Line Indl Portfoli
"12340 Boggy Creek Rd, Orlando, FL 32824","28.384270,-81.316254",21-Sep-18,"$108,000,000 ",31-Jul-20,"$52,000,000 ","880,296 SF",Principal Life Ins Co,--,Industrial | Warehouse,Ta Fulfillment Center Orl Llc
"1062 Old Dixie Hwy, Auburndale, FL 33823",,18-Jul-16,"$8,500,000 ",1-Nov-21,"$2,230,000,000 ","831,600 SF",Na,1,Industrial | General Industrial,Medline Industries Inc
"11440 Nw 122nd St, Medley, FL 33178",,--,--,--,--,"812,314 SF",--,--,Industrial | Warehouse,Liberty Property Ltd Partnership
"13333 103rd St, Jacksonville, FL 32210",,28-Feb-18,--,--,--,"1,016,058 SF",--,1,Industrial | Warehouse,Gpt Bts 103rd St Owner Llc
"1010 Crews Commerce Dr, Orlando, FL 32837",,18-Dec-15,"$11,101,100 ",29-Jul-19,"$43,164,000 ","794,210 SF",Regions Bk,--,Industrial | Warehouse,Crews Commerce Venture Llc
"12900 Pecan Park Rd, Jacksonville, FL 32218",,5-Aug-20,"$10,780,000 ",5-Aug-20,"$139,100,000 ","856,605 SF",Goldman Sachs Bank Usa,1,Industrial | General Industrial,Jdm Amzn Jax Llc
"5000 Us Highway 1 N, Saint Augustine, FL 32095",,--,--,--,--,"805,157 SF",--,2,Industrial | Heavy Industrial,Northrop Grumman Systems Corp
"1760 County Line Rd, Lakeland, FL 33811",,1-Dec-16,"$87,657,600 ",1-Jul-17,"$33,360,000 ","1,016,080 SF",Wells Fargo,1,Industrial | General Industrial,New Amazon Llc 33%
