zipcode,date_time,DNI,Temperature,solar_prod_by_panel_wh,panels,solar_prod_kwh,solar_prod_mwh,real_pred_demand_mwh
33040,2019-01-01,321.9583333333333,24.96666666666667,157.61350332320723,,,,2244.1496409
33040,2019-01-02,214.33333333333331,25.01250000000001,105.97040513843487,,,,2198.3763051575
33040,2019-01-03,300.5,25.179166666666664,147.44044439513755,,,,2371.6680479
33040,2019-01-04,246.66666666666663,25.154166666666665,121.57977699160121,,,,2395.44462289
33040,2019-01-05,162.91666666666666,24.03333333333333,80.69019158344899,,,,2262.310899915
33040,2019-01-06,315.6666666666667,20.816666666666666,152.07114788979612,,,,1920.44862968375
33040,2019-01-07,274.0416666666667,23.19166666666668,133.53006384704292,,,,2141.13646788125
33040,2019-01-08,334.1666666666667,24.141666666666666,162.97344038231074,,,,2185.121314385
33040,2019-01-09,161.79166666666666,23.16666666666667,79.6234538441245,,,,2141.9211238
33040,2019-01-10,324.7916666666667,20.145833333333336,156.0444494705419,,,,1873.786620235
33040,2019-01-11,330.4166666666667,19.7625,158.51209215488876,,,,1861.29445398
33040,2019-01-12,296.5,23.30833333333333,144.38324008151466,,,,2025.8263778062494
33040,2019-01-13,258.625,23.63333333333333,126.39687087665932,,,,2142.0037624375
33040,2019-01-14,148.29166666666666,22.100000000000005,72.49392877037319,,,,2037.78151625875
33040,2019-01-15,65.45833333333333,19.533333333333328,31.165887172551834,,,,1877.9539921625
33040,2019-01-16,257.0416666666667,18.45833333333333,122.49216109098312,,,,1799.6477571825
33040,2019-01-17,204.95833333333331,20.483333333333327,98.71733835248648,,,,1915.6051421375
33040,2019-01-18,346.83333333333326,21.79166666666667,167.62676961392674,,,,1977.48737960875
33040,2019-01-19,258.25,23.133333333333336,125.9130115966884,,,,2136.53752492
33040,2019-01-20,100.0,22.60416666666667,49.615369139845576,,,,2017.9551914825
33040,2019-01-21,355.25,17.683333333333334,169.17122885467796,,,,1859.8028060162494
33040,2019-01-22,167.95833333333334,21.875,81.79920990782126,,,,1972.293191775
33040,2019-01-23,173.41666666666663,23.39166666666667,85.34135593929835,,,,1924.7233496125
33040,2019-01-24,49.41666666666666,23.91666666666667,26.127753879897412,,,,2224.34173508375
33040,2019-01-25,10.791666666666664,20.733333333333327,5.64949676934938,,,,2016.22553602
33040,2019-01-26,49.5,19.566666666666666,23.52451850843746,,,,1868.5131239775
33040,2019-01-27,1.9166666666666667,23.09583333333333,2.8241487839686528,,,,2056.914498755
33040,2019-01-28,137.625,17.658333333333335,64.67389928411524,,,,1782.41098195
33040,2019-01-29,374.70833333333326,16.829166666666666,177.9941805410117,,,,1794.4133189874995
33040,2019-01-30,63.16666666666666,20.904166666666672,30.898630316680062,,,,1949.677340175
33040,2019-01-31,149.5,20.8375,72.30690333306362,,,,1958.7515559375
33040,2019-02-01,314.2916666666667,22.662499999999994,152.53261435985513,,,,2123.7355665587493
33040,2019-02-02,337.375,23.29583333333333,163.99980267731763,,,,2229.22798093
33040,2019-02-03,356.58333333333326,23.17083333333333,173.14580141592955,,,,2247.36411944375
33040,2019-02-04,113.16666666666669,22.05,55.59997346795409,,,,2082.34429874625
33040,2019-02-05,235.04166666666663,21.90833333333333,114.02628889033205,,,,2084.89335124625
33040,2019-02-06,361.875,22.91666666666666,175.53189731678532,,,,2114.994742195
33040,2019-02-07,280.375,23.154166666666665,136.54792153824957,,,,2126.1461890625
33040,2019-02-08,326.7083333333333,23.437500000000004,158.9648002347904,,,,2154.98267437875
33040,2019-02-09,246.58333333333331,23.34166666666667,120.43841691062683,,,,2171.2066946075
33040,2019-02-10,245.125,23.8,120.01677126194828,,,,2020.2842443062493
33040,2019-02-11,155.83333333333334,24.179166666666664,77.37808550832996,,,,2127.1804465575
33040,2019-02-12,297.125,24.7875,145.58210784368885,,,,2273.38591632125
33040,2019-02-13,3.583333333333333,23.1,3.6268501730803937,,,,2230.8719553375
33040,2019-02-14,357.08333333333326,21.016666666666673,172.0768895692795,,,,1944.5250883662493
33040,2019-02-15,349.45833333333326,22.616666666666664,169.38834151729117,,,,2095.16294929
33040,2019-02-16,350.08333333333326,23.92083333333333,170.4808718832502,,,,2176.00014672
33040,2019-02-17,352.29166666666674,24.737500000000008,172.03733771449447,,,,2334.24906727125
33040,2019-02-18,329.9583333333333,25.133333333333336,161.55559085634297,,,,2384.240468195
33040,2019-02-19,338.75,25.23333333333333,165.83724943971998,,,,2222.14502742125
33040,2019-02-20,229.125,25.33333333333333,113.26686175530534,,,,2205.3873096037496
33040,2019-02-21,345.0,25.35833333333333,168.91384052152353,,,,2201.78664960625
33040,2019-02-22,344.45833333333326,25.445833333333336,168.70695411706902,,,,2361.283536925
33040,2019-02-23,295.4583333333333,25.50000000000001,145.21488341050593,,,,2226.4283812375
33040,2019-02-24,362.66666666666674,25.72083333333333,177.6159080335089,,,,2368.6581102625
33040,2019-02-25,297.625,25.42083333333333,146.20699880818051,,,,2383.193218755
33040,2019-02-26,261.2083333333333,25.31666666666666,128.65999815137292,,,,2288.042187035
33040,2019-02-27,291.2083333333333,25.35,143.08330472771394,,,,2340.5972769537493
33040,2019-02-28,376.25,24.73333333333333,183.53724310043265,,,,2324.6358091325
33040,2019-03-01,385.29166666666674,24.708333333333343,187.8629718327506,,,,2287.239975545
33040,2019-03-02,283.1666666666667,25.32500000000001,139.20729560999854,,,,2370.9576023000004
33040,2019-03-03,367.41666666666674,25.23333333333333,179.60016563684906,,,,2374.283704675
33040,2019-03-04,352.83333333333326,25.691666666666666,172.87718481070584,,,,2383.34866984375
