Year,Month,Day,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,date_time
2015,6,8,64.52281746031746,373.12566137566137,20.777777777777782,0.12556349206349213,1.7395833333333328,73.73073743386243,27.03306878306879,1010.0,2015-06-08
2015,6,9,89.442791005291,321.5955687830688,21.936838624338623,0.12556349206349213,1.6741071428571432,75.17888558201057,27.543320105820104,1009.9239417989419,2015-06-09
2015,6,10,104.64616402116401,94.02843915343915,23.393518518518515,0.1261825396825396,1.715773809523809,90.44167328042329,25.755952380952383,1009.9669312169312,2015-06-10
2015,6,11,134.00992063492063,153.0439814814815,22.255291005291003,0.1261825396825396,2.2520833333333328,83.75738756613755,26.0380291005291,1010.0,2015-06-11
2015,6,12,125.09722222222219,137.74801587301587,22.865079365079364,0.1261825396825396,2.4744047619047604,84.20578703703703,26.52843915343915,1010.6779100529101,2015-06-12
2015,6,13,135.04794973544972,205.53538359788362,23.261243386243383,0.1261825396825396,3.0499999999999994,85.8531712962963,26.55224867724868,1011.0681216931216,2015-06-13
2015,6,14,130.66964285714286,219.83366402116403,22.806547619047617,0.1261825396825396,3.277380952380953,80.6635548941799,27.252314814814813,1010.0,2015-06-14
2015,6,15,72.62070105820105,307.6871693121694,22.733134920634914,0.1261825396825396,2.5586309523809536,78.49863095238096,27.78505291005291,1010.0,2015-06-15
2015,6,16,76.6385582010582,334.82275132275134,22.741732804232807,0.1261825396825396,1.1821428571428567,75.69687499999999,28.36011904761905,1010.7043650793652,2015-06-16
2015,6,17,80.79464285714285,331.3052248677249,23.194444444444446,0.1261825396825396,1.5187499999999996,76.83405092592594,28.755621693121697,1010.0,2015-06-17
2015,6,18,100.64781746031748,231.21825396825398,24.071097883597886,0.1258730158730158,1.6383928571428568,79.28126653439152,28.82308201058201,1010.0,2015-06-18
2015,6,19,110.5300925925926,176.79927248677248,24.146825396825406,0.1258730158730158,1.3074404761904765,80.4259623015873,28.571759259259263,1010.0760582010583,2015-06-19
2015,6,20,94.84986772486774,170.2714947089947,23.878968253968257,0.1258730158730158,1.4160714285714284,80.0896130952381,28.41666666666667,1010.2281746031746,2015-06-20
2015,6,21,84.86739417989418,311.4232804232804,22.89285714285715,0.1258730158730158,1.226785714285714,75.36873015873016,28.556216931216934,1010.436507936508,2015-06-21
2015,6,22,133.53141534391537,132.44907407407408,23.25661375661376,0.1258730158730158,1.333333333333334,76.22891534391535,28.712962962962962,1010.0462962962962,2015-06-22
2015,6,23,99.62103174603173,225.7159391534391,23.792658730158735,0.1258730158730158,1.3482142857142858,80.38129960317457,28.227843915343914,1011.6501322751324,2015-06-23
2015,6,24,102.72156084656085,248.65873015873015,23.736441798941797,0.1258730158730158,1.195535714285713,83.00229828042329,27.646825396825403,1011.603835978836,2015-06-24
2015,6,25,92.43849206349205,196.7688492063492,23.34292328042328,0.1258730158730158,1.2711309523809524,79.54162037037038,27.990740740740744,1011.1507936507937,2015-06-25
2015,6,26,92.77347883597884,300.52248677248673,23.061177248677243,0.12499206349206339,1.4235119047619065,79.73026455026455,27.787367724867725,1010.0,2015-06-26
2015,6,27,79.57539682539682,327.8012566137566,23.107804232804227,0.12499206349206339,2.444345238095239,76.25841931216931,28.521825396825392,1010.0,2015-06-27
2015,6,28,93.70634920634922,279.77414021164026,23.210978835978835,0.12499206349206339,2.933035714285712,77.35303571428571,28.300925925925924,1010.0,2015-06-28
2015,6,29,122.38392857142856,192.1001984126984,23.632275132275137,0.12499206349206339,2.864880952380952,82.34254960317459,27.46660052910053,1010.0,2015-06-29
2015,6,30,104.91567460317462,262.58630952380946,23.076388888888886,0.12499206349206339,2.512202380952383,78.9833564814815,27.772817460317466,1010.7771164021163,2015-06-30
2015,7,1,130.4725529100529,227.442791005291,22.65707671957672,0.12499206349206339,1.5038690476190482,75.11026455026456,28.227843915343914,1012.3908730158731,2015-07-01
2015,7,2,115.92923280423281,169.02050264550266,22.156746031746035,0.12499206349206339,1.2961309523809523,74.17304232804233,27.998015873015873,1010.9556878306879,2015-07-02
2015,7,3,96.1574074074074,226.35350529100526,21.81415343915344,0.12499206349206339,1.0889880952380953,74.88173941798941,27.681547619047617,1010.0,2015-07-03
2015,7,4,88.11640211640211,278.8958333333333,22.277116402116405,0.12487301587301582,0.9636904761904758,75.42709986772489,27.89484126984127,1010.5092592592592,2015-07-04
2015,7,5,89.8320105820106,228.90839947089952,22.946428571428573,0.12487301587301582,1.4836309523809523,80.33782738095239,27.4239417989418,1012.5992063492064,2015-07-05
2015,7,6,105.37037037037037,182.17063492063494,22.88756613756614,0.12487301587301582,1.6202380952380953,82.49705687830688,26.987764550264547,1013.7962962962962,2015-07-06
2015,7,7,95.12070105820106,153.55489417989418,21.900793650793656,0.12487301587301582,0.6699404761904759,75.23889550264552,27.5082671957672,1012.6554232804233,2015-07-07
2015,7,8,106.45205026455027,261.5449735449735,22.46593915343915,0.12487301587301582,1.1845238095238089,78.95154100529102,27.241402116402114,1013.1977513227512,2015-07-08
2015,7,9,86.5214947089947,285.0314153439154,22.475859788359788,0.12487301587301582,1.507142857142858,76.18455026455025,28.15310846560847,1012.8373015873016,2015-07-09
2015,7,10,77.57440476190477,346.56514550264546,22.47023809523809,0.12487301587301582,1.4369047619047615,74.84210978835979,28.45800264550265,1011.7427248677249,2015-07-10
2015,7,11,97.08002645502644,210.57109788359787,23.041997354497354,0.12487301587301582,1.2738095238095226,75.46314153439153,28.745701058201064,1011.35582010582,2015-07-11
2015,7,12,126.65839947089945,95.11739417989418,23.706679894179896,0.12384126984126985,1.1273809523809524,79.13810515873016,28.369378306878307,1010.0,2015-07-12
2015,7,13,103.75661375661377,218.1035052910053,23.203703703703706,0.12384126984126985,1.3803571428571428,79.23505291005291,27.944113756613756,1009.9041005291006,2015-07-13
2015,7,14,126.9708994708995,106.7906746031746,24.078373015873016,0.12384126984126985,2.3166666666666664,82.61930886243387,28.018187830687825,1009.8148148148148,2015-07-14
