utc_datetime,respondent_id_ferc714,demand_mwh
2014-07-05,6288,56911.0
2014-07-06,6288,54181.0
2014-07-07,6288,54462.0
2014-07-08,6288,60924.0
2014-07-09,6288,60247.0
2014-07-10,6288,60343.0
2014-07-11,6288,58906.0
2014-07-12,6288,60160.0
2014-07-13,6288,58420.0
2014-07-14,6288,63141.0
2014-07-15,6288,62564.0
2014-07-16,6288,56053.0
2014-07-17,6288,60074.0
2014-07-18,6288,62546.0
2014-07-19,6288,64357.0
2014-07-20,6288,63872.0
2014-07-21,6288,65937.0
2014-07-22,6288,61951.0
2014-07-23,6288,65830.0
2014-07-24,6288,65956.0
2014-07-25,6288,65072.0
2014-07-26,6288,60691.0
2014-07-27,6288,64331.0
2014-07-28,6288,69172.0
2014-07-29,6288,66986.0
2014-07-30,6288,65270.0
2014-07-31,6288,65160.0
2014-08-01,6288,65888.0
2014-08-02,6288,65111.0
2014-08-03,6288,61827.0
2014-08-04,6288,65410.0
2014-08-05,6288,64454.0
2014-08-06,6288,66640.0
2014-08-07,6288,67177.0
2014-08-08,6288,65502.0
2014-08-09,6288,63592.0
2014-08-10,6288,61430.0
2014-08-11,6288,59254.0
2014-08-12,6288,62846.0
2014-08-13,6288,65722.0
2014-08-14,6288,65095.0
2014-08-15,6288,55671.0
2014-08-16,6288,53612.0
2014-08-17,6288,60330.0
2014-08-18,6288,67951.0
2014-08-19,6288,69915.0
2014-08-20,6288,70608.0
2014-08-21,6288,72665.0
2014-08-22,6288,70689.0
2014-08-23,6288,64542.0
2014-08-24,6288,62659.0
2014-08-25,6288,66438.0
2014-08-26,6288,67004.0
2014-08-27,6288,67793.0
2014-08-28,6288,69992.0
2014-08-29,6288,68932.0
2014-08-30,6288,62271.0
2014-08-31,6288,60995.0
2014-09-01,6288,63860.0
2014-09-02,6288,66777.0
2014-09-03,6288,67583.0
2014-09-04,6288,63546.0
2014-09-05,6288,61151.0
2014-09-06,6288,58388.0
2014-09-07,6288,57629.0
2014-09-08,6288,60367.0
2014-09-09,6288,60718.0
2014-09-10,6288,62816.0
2014-09-11,6288,65186.0
2014-09-12,6288,63914.0
2014-09-13,6288,61808.0
2014-09-14,6288,60760.0
2014-09-15,6288,61898.0
2014-09-16,6288,63546.0
2014-09-17,6288,53846.0
2014-09-18,6288,58517.0
2014-09-19,6288,57235.0
2014-09-20,6288,49907.0
2014-09-21,6288,54247.0
2014-09-22,6288,55382.0
2014-09-23,6288,52666.0
2014-09-24,6288,55553.0
2014-09-25,6288,55542.0
2014-09-26,6288,57864.0
2014-09-27,6288,55075.0
2014-09-28,6288,55079.0
2014-09-29,6288,57058.0
2014-09-30,6288,56589.0
2014-10-01,6288,60291.0
2014-10-02,6288,62468.0
2014-10-03,6288,63241.0
2014-10-04,6288,55730.0
2014-10-05,6288,43496.0
2014-10-06,6288,45115.0
2014-10-07,6288,53130.0
2014-10-08,6288,56242.0
2014-10-09,6288,58067.0
2014-10-10,6288,58652.0
2014-10-11,6288,55859.0
2014-10-12,6288,55389.0
2014-10-13,6288,59734.0
2014-10-14,6288,58953.0
2014-10-15,6288,54039.0
2014-10-16,6288,49167.0
2014-10-17,6288,46515.0
2014-10-18,6288,43950.0
2014-10-19,6288,44900.0
2014-10-20,6288,50165.0
2014-10-21,6288,51276.0
2014-10-22,6288,52001.0
2014-10-23,6288,49391.0
2014-10-24,6288,46414.0
2014-10-25,6288,42612.0
2014-10-26,6288,41257.0
2014-10-27,6288,45284.0
2014-10-28,6288,48660.0
2014-10-29,6288,49820.0
2014-10-30,6288,50522.0
