lat,long,Year,Month,Day,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,date_time
30.17,-84.38,2019,4,9,113.54166666666667,131.08333333333334,20.183333333333334,0.1400000000000001,1.5708333333333335,91.36000000000001,21.7625,1008.2083333333334,2019-04-09
30.17,-84.38,2019,4,10,75.125,268.0833333333333,18.50416666666667,0.1400000000000001,1.1666666666666665,85.155,21.458333333333332,1006.625,2019-04-10
30.17,-84.38,2019,4,11,44.041666666666664,403.2916666666667,18.76666666666667,0.1400000000000001,1.504166666666667,85.39666666666666,21.566666666666663,1010.0833333333334,2019-04-11
30.17,-84.38,2019,4,12,118.95833333333333,184.875,19.5125,0.1400000000000001,1.1624999999999999,87.32041666666665,21.954166666666666,1013.0833333333334,2019-04-12
30.17,-84.38,2019,4,13,124.20833333333333,168.91666666666666,20.349999999999998,0.14999999999999994,1.4791666666666663,91.01416666666665,21.920833333333334,1013.2083333333334,2019-04-13
30.17,-84.38,2019,4,14,42.125,17.791666666666668,22.354166666666668,0.14999999999999994,2.891666666666666,95.83999999999999,23.058333333333334,1008.6666666666666,2019-04-14
30.17,-84.38,2019,4,15,46.375,427.3333333333333,11.008333333333335,0.16000000000000006,2.65,72.21166666666667,16.616666666666664,1015.375,2019-04-15
30.17,-84.38,2019,4,16,47.583333333333336,411.5416666666667,10.795833333333333,0.16000000000000006,1.6208333333333338,70.23500000000001,17.295833333333334,1020.3333333333334,2019-04-16
30.17,-84.38,2019,4,17,110.08333333333333,239.04166666666666,15.604166666666666,0.16000000000000006,1.5958333333333332,75.65041666666667,20.354166666666668,1018.0,2019-04-17
30.17,-84.38,2019,4,18,91.58333333333333,294.125,18.195833333333336,0.16000000000000006,1.8958333333333333,82.83166666666666,21.400000000000002,1013.5,2019-04-18
30.17,-84.38,2019,4,19,75.45833333333333,193.75,18.825000000000006,0.16999999999999996,3.7916666666666674,87.69166666666666,21.11666666666667,1005.1666666666666,2019-04-19
30.17,-84.38,2019,4,20,85.70833333333333,287.5833333333333,10.425,0.16999999999999996,3.141666666666667,72.22041666666668,15.812500000000005,1011.2916666666666,2019-04-20
