Wind Speed,Pressure,is_weekend,day_of_week,Month,month,Relative Humidity,season,DHI,Surface Albedo,Dew Point,Temperature
2.233333333333333,1012.0891203703704,0,1,4,4,66.1100462962963,1,118.61805555555551,0.1145972222222221,16.675347222222225,24.63628472222223
3.7104166666666663,1015.6712962962964,0,2,4,4,63.11548611111109,1,70.53067129629632,0.1145972222222221,15.919849537037036,24.789062500000004
2.6895833333333328,1013.582175925926,0,3,4,4,62.48653356481481,1,86.5396412037037,0.1145972222222221,15.283854166666671,24.50202546296296
2.2958333333333334,1009.9855324074072,0,4,4,4,61.0555613425926,1,54.99623842592593,0.1145972222222221,14.377314814814817,24.151909722222225
1.6958333333333335,1009.84375,1,5,4,4,70.51426215277776,1,127.89207175925928,0.1138101851851851,17.69936342592593,24.360243055555557
1.4624999999999992,1004.5052083333334,1,6,4,4,71.5847366898148,1,92.39409722222224,0.1108194444444444,18.6640625,25.244791666666668
4.779166666666668,1000.0,0,0,4,4,74.97887442129628,1,117.3689236111111,0.1108194444444444,16.629918981481485,22.14554398148147
3.4291666666666654,1005.1822916666666,0,1,4,4,62.41828414351852,1,77.5714699074074,0.1108194444444444,12.98871527777778,21.423611111111104
2.36875,1007.8674768518516,0,2,4,4,62.22967013888886,1,73.68663194444444,0.1108194444444444,14.864872685185189,23.62586805555556
2.85,1009.8900462962962,0,3,4,4,74.41883101851853,1,66.36111111111111,0.1108194444444444,19.54166666666666,25.77835648148148
2.29375,1010.0,0,4,4,4,70.49256944444444,1,102.18373842592592,0.1108194444444444,20.10532407407407,27.35706018518518
3.922916666666667,1010.0144675925926,1,5,4,4,64.98144965277777,1,88.39641203703702,0.1108194444444444,19.00434027777777,27.76678240740741
4.114583333333333,1010.0,1,6,4,4,73.1041087962963,1,109.25810185185183,0.1108917824074074,20.42563657407408,26.581018518518523
4.233333333333334,1010.0,0,0,5,5,77.91773726851855,1,119.79224537037032,0.1111666666666666,21.18576388888888,26.234375
2.1208333333333327,1010.0,0,1,5,5,75.29776331018516,1,113.39091435185188,0.1111666666666666,20.4994212962963,26.335358796296305
2.8166666666666664,1010.0,0,2,5,5,70.04116030092592,1,87.9085648148148,0.1111666666666666,18.93315972222222,26.00954861111111
4.6291666666666655,1006.2528935185186,0,3,5,5,78.39796296296295,1,116.91724537037037,0.1111666666666666,20.1730324074074,25.26215277777777
6.097916666666666,1001.1255787037036,0,4,5,5,68.36293692129628,1,95.89207175925924,0.1111666666666666,15.03096064814814,22.17679398148148
5.391666666666667,1009.565972222222,1,5,5,5,53.16533564814816,1,61.05150462962965,0.1111666666666666,9.62760416666667,20.496238425925927
3.0562500000000004,1010.0,1,6,5,5,59.95460937499999,1,59.49045138888889,0.1111666666666666,12.898726851851848,22.27575231481482
2.958333333333333,1010.0,0,0,5,5,61.84014178240739,1,67.32320601851852,0.1121967592592593,14.342592592592588,23.85619212962963
2.177083333333334,1010.0,0,1,5,5,59.98594907407408,1,63.74392361111112,0.1161111111111111,14.791377314814817,24.956307870370367
2.18125,1010.0,0,2,5,5,59.21531539351852,1,68.89670138888889,0.1161111111111111,15.82523148148148,26.18315972222223
2.3875,1010.0,0,3,5,5,60.9342013888889,1,64.9855324074074,0.1161111111111111,16.17650462962963,26.028645833333343
2.4562500000000007,1009.9479166666662,0,4,5,5,71.69889467592593,1,94.6892361111111,0.1161111111111111,18.10358796296296,24.68663194444444
4.691666666666666,1004.2592592592592,1,5,5,5,82.86887152777778,1,120.54021990740743,0.1161111111111111,21.12152777777777,25.12876157407408
2.633333333333334,1007.491319444444,1,6,5,5,71.4832609953704,1,82.92071759259257,0.1161111111111111,18.81105324074074,25.456307870370367
2.4291666666666667,1009.9392361111107,0,0,5,5,67.21168981481482,1,72.61284722222224,0.1161111111111111,18.84375,26.811631944444454
3.047916666666666,1010.0,0,1,5,5,67.11850115740738,1,78.0318287037037,0.1162847222222221,19.44907407407407,27.76331018518518
3.924999999999999,1010.0,0,2,5,5,70.00759259259259,1,82.94589120370371,0.1169444444444443,20.428240740740737,28.08940972222223
4.479166666666667,1010.0,0,3,5,5,68.14047743055555,1,80.14149305555556,0.1169444444444443,20.1160300925926,28.01533564814814
3.256249999999999,1010.0,0,4,5,5,77.28407118055554,1,126.12528935185186,0.1169444444444443,22.323784722222225,27.639178240740744
2.3145833333333337,1010.0,1,5,5,5,73.66168113425928,1,91.50260416666669,0.1169444444444443,21.459201388888896,27.884548611111114
1.4437500000000003,1010.5960648148148,1,6,5,5,75.66056712962961,1,138.88917824074076,0.1169444444444443,21.128472222222214,26.94646990740741
1.954166666666666,1010.0,0,0,5,5,77.55895254629631,1,73.79398148148148,0.1169444444444443,21.565104166666668,26.617766203703702
4.143749999999999,1009.2042824074074,0,1,5,5,81.90269097222223,1,155.90306712962965,0.1169444444444443,22.253761574074076,26.32899305555556
6.05833333333333,1000.2141203703704,0,2,5,5,89.2495283564815,1,128.80873842592592,0.1172829861111111,23.31655092592593,25.81394675925925
4.302083333333333,1007.2829861111107,0,3,5,5,70.10752025462963,1,96.92737268518516,0.1185694444444444,17.703414351851848,24.583043981481467
2.383333333333334,1010.0,0,4,5,5,57.949794560185175,1,50.12037037037036,0.1185694444444444,14.181423611111116,24.35300925925928
2.077083333333334,1010.0,1,5,5,5,59.91550925925928,1,51.66724537037037,0.1185694444444444,15.207175925925918,25.26851851851853
2.9312499999999986,1010.0,1,6,5,5,78.28209490740741,1,67.64699074074075,0.1185694444444444,20.745370370370363,25.92303240740741
2.10625,1010.0,0,0,5,5,69.6252951388889,1,97.4291087962963,0.1185694444444444,20.327546296296287,27.754050925925934
1.9312499999999997,1010.5613425925924,0,1,5,5,67.61836805555556,1,120.48263888888889,0.1185694444444444,20.268518518518523,28.138599537037035
1.1604166666666658,1010.0,0,2,5,5,65.94615162037034,1,123.81047453703704,0.1185694444444444,20.509548611111104,28.433738425925924
1.8875,1010.0,0,3,6,6,80.18303819444445,2,133.5462962962963,0.1185405092592591,22.60706018518518,27.115740740740737
1.55,1010.0,0,4,6,6,83.64713541666666,2,133.33535879629628,0.1184305555555554,22.14612268518518,25.961226851851844
1.2291666666666667,1010.0,1,5,6,6,79.90259837962962,2,154.61082175925927,0.1184305555555554,21.52459490740741,26.14351851851851
1.1875,1010.0,1,6,6,6,86.07897280092591,2,126.70052083333336,0.1184305555555554,22.152488425925924,25.27054398148148
2.260416666666667,1009.947916666666,0,0,6,6,87.83003761574072,2,121.73379629629628,0.1184305555555554,22.18200231481482,25.03559027777777
3.675,1001.0648148148148,0,1,6,6,97.23001157407408,2,92.8515625,0.1184305555555554,24.562789351851848,25.492766203703702
4.610416666666666,1000.0,0,2,6,6,97.85049189814816,2,102.82291666666664,0.1184305555555554,24.808738425925927,25.47829861111111
3.243750000000001,1000.5931712962962,0,3,6,6,86.9331886574074,2,112.35011574074076,0.1184305555555554,22.732928240740744,25.7511574074074
2.0604166666666663,1009.7309027777778,0,4,6,6,80.42294849537033,2,74.51331018518518,0.1186041666666665,21.0703125,25.642939814814813
